,google_score
0,0.0
1,0.0
2,-0.20000000298023224
3,0.0
4,-0.10000000149011612
5,0.4000000059604645
6,0.30000001192092896
7,0.6000000238418579
8,0.5
9,0.30000001192092896
10,0.800000011920929
11,0.0
12,0.30000001192092896
13,0.0
14,0.0
15,0.5
16,0.0
17,0.699999988079071
18,0.30000001192092896
19,0.4000000059604645
20,0.4000000059604645
21,0.5
22,0.20000000298023224
23,0.30000001192092896
24,0.20000000298023224
25,0.6000000238418579
26,0.20000000298023224
27,0.30000001192092896
28,0.20000000298023224
29,0.4000000059604645
30,0.20000000298023224
31,0.0
32,-0.10000000149011612
33,0.5
34,0.20000000298023224
35,0.30000001192092896
36,0.0
37,0.699999988079071
38,0.4000000059604645
39,0.0
40,0.5
41,0.4000000059604645
42,0.20000000298023224
43,0.0
44,0.10000000149011612
45,0.30000001192092896
46,0.800000011920929
47,0.10000000149011612
48,0.699999988079071
49,0.30000001192092896
50,0.30000001192092896
51,0.0
52,0.20000000298023224
53,0.0
54,0.4000000059604645
55,0.20000000298023224
56,0.20000000298023224
57,0.10000000149011612
58,0.0
59,0.4000000059604645
60,-0.4000000059604645
61,0.10000000149011612
62,0.0
63,0.10000000149011612
64,0.10000000149011612
65,0.20000000298023224
66,0.20000000298023224
67,0.4000000059604645
68,0.10000000149011612
69,0.30000001192092896
70,0.0
71,-0.4000000059604645
72,-0.10000000149011612
73,0.0
74,-0.5
75,0.800000011920929
76,0.20000000298023224
77,0.10000000149011612
78,0.800000011920929
79,0.10000000149011612
80,0.30000001192092896
81,0.30000001192092896
82,0.0
83,0.4000000059604645
84,0.6000000238418579
85,0.0
86,0.20000000298023224
87,0.4000000059604645
88,0.20000000298023224
89,0.20000000298023224
90,0.8999999761581421
91,0.30000001192092896
92,0.0
93,0.20000000298023224
94,0.0
95,0.4000000059604645
96,0.20000000298023224
97,0.20000000298023224
98,0.0
99,0.10000000149011612
100,0.0
101,0.30000001192092896
102,0.0
103,0.20000000298023224
104,0.5
105,-0.5
106,0.20000000298023224
107,0.0
108,0.30000001192092896
109,0.4000000059604645
110,0.10000000149011612
111,0.20000000298023224
112,0.10000000149011612
113,0.0
114,0.0
115,0.10000000149011612
116,0.4000000059604645
117,0.0
118,0.10000000149011612
119,0.30000001192092896
120,0.20000000298023224
121,0.30000001192092896
122,0.10000000149011612
123,0.30000001192092896
124,0.0
125,0.0
126,0.30000001192092896
127,0.0
128,0.20000000298023224
129,0.30000001192092896
130,0.0
131,0.20000000298023224
132,0.0
133,0.0
134,0.5
135,0.0
136,0.10000000149011612
137,0.4000000059604645
138,0.4000000059604645
139,0.5
140,0.0
141,0.10000000149011612
142,0.10000000149011612
143,0.20000000298023224
144,0.0
145,-0.20000000298023224
146,0.0
147,0.30000001192092896
148,0.0
149,0.4000000059604645
150,-0.10000000149011612
151,0.0
152,0.20000000298023224
153,-0.30000001192092896
154,0.0
155,-0.10000000149011612
156,0.20000000298023224
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,-0.20000000298023224
163,0.20000000298023224
164,0.800000011920929
165,0.0
166,0.0
167,0.10000000149011612
168,0.0
169,0.10000000149011612
170,0.30000001192092896
171,0.5
172,0.8999999761581421
173,0.10000000149011612
174,0.20000000298023224
175,0.0
176,0.0
177,0.10000000149011612
178,0.10000000149011612
179,0.10000000149011612
180,0.0
181,0.10000000149011612
182,0.0
183,0.5
184,0.5
185,0.20000000298023224
186,0.0
187,0.10000000149011612
188,-0.20000000298023224
189,0.6000000238418579
190,0.10000000149011612
191,0.20000000298023224
192,0.10000000149011612
193,0.5
194,0.10000000149011612
195,-0.10000000149011612
196,0.30000001192092896
197,-0.10000000149011612
198,0.20000000298023224
199,0.5
200,0.0
201,0.5
202,0.5
203,0.10000000149011612
204,0.4000000059604645
205,0.5
206,0.0
207,0.10000000149011612
208,0.30000001192092896
209,0.6000000238418579
210,0.30000001192092896
211,0.30000001192092896
212,0.4000000059604645
213,-0.10000000149011612
214,0.5
215,0.30000001192092896
216,0.699999988079071
217,0.0
218,-0.30000001192092896
219,0.30000001192092896
220,0.30000001192092896
221,-0.30000001192092896
222,0.699999988079071
223,-0.10000000149011612
224,-0.10000000149011612
225,0.0
226,0.0
227,0.4000000059604645
228,-0.10000000149011612
229,-0.10000000149011612
230,0.6000000238418579
231,0.699999988079071
232,0.10000000149011612
233,0.5
234,-0.10000000149011612
235,-0.10000000149011612
236,0.4000000059604645
237,0.6000000238418579
238,0.10000000149011612
239,0.0
240,-0.10000000149011612
241,0.0
242,-0.30000001192092896
243,-0.20000000298023224
244,0.0
245,0.0
246,0.0
247,0.0
248,0.20000000298023224
249,0.10000000149011612
250,0.699999988079071
251,0.0
252,0.0
253,0.0
254,0.0
255,-0.20000000298023224
256,-0.20000000298023224
257,0.20000000298023224
258,0.30000001192092896
259,0.0
260,0.0
261,0.0
262,-0.10000000149011612
263,-0.20000000298023224
264,0.0
265,0.0
266,-0.10000000149011612
267,0.20000000298023224
268,0.4000000059604645
269,-0.20000000298023224
270,0.4000000059604645
271,0.0
272,0.0
273,-0.10000000149011612
274,0.30000001192092896
275,-0.10000000149011612
276,0.0
277,0.30000001192092896
278,0.4000000059604645
279,0.0
280,0.30000001192092896
281,-0.10000000149011612
282,0.10000000149011612
283,0.30000001192092896
284,0.5
285,0.20000000298023224
286,0.0
287,-0.10000000149011612
288,0.20000000298023224
289,0.10000000149011612
290,0.0
291,0.0
292,0.0
293,0.0
294,0.20000000298023224
295,0.20000000298023224
296,0.4000000059604645
297,0.0
298,0.10000000149011612
299,0.10000000149011612
300,-0.10000000149011612
301,0.20000000298023224
302,0.0
303,0.30000001192092896
304,0.30000001192092896
305,0.0
306,-0.30000001192092896
307,0.30000001192092896
308,0.10000000149011612
309,0.0
310,0.0
311,0.30000001192092896
312,0.20000000298023224
313,0.0
314,0.10000000149011612
315,0.4000000059604645
316,0.20000000298023224
317,0.0
318,0.20000000298023224
319,0.0
320,0.20000000298023224
321,0.30000001192092896
322,0.10000000149011612
323,0.6000000238418579
324,0.0
325,0.20000000298023224
326,0.4000000059604645
327,0.30000001192092896
328,0.0
329,0.20000000298023224
330,0.4000000059604645
331,0.0
332,0.30000001192092896
333,0.20000000298023224
334,0.0
335,0.4000000059604645
336,0.0
337,0.0
338,-0.10000000149011612
339,0.5
340,0.5
341,0.30000001192092896
342,0.5
343,0.6000000238418579
344,0.20000000298023224
345,0.30000001192092896
346,0.5
347,0.20000000298023224
348,0.4000000059604645
349,0.800000011920929
350,0.30000001192092896
351,0.4000000059604645
352,0.5
353,0.5
354,0.4000000059604645
355,0.699999988079071
356,0.30000001192092896
357,0.6000000238418579
358,0.30000001192092896
359,0.699999988079071
360,0.6000000238418579
361,-0.10000000149011612
362,0.6000000238418579
363,0.10000000149011612
364,0.30000001192092896
365,0.30000001192092896
366,0.30000001192092896
367,0.4000000059604645
368,-0.10000000149011612
369,-0.10000000149011612
370,0.10000000149011612
371,0.0
372,0.5
373,0.0
374,0.10000000149011612
375,0.0
376,0.0
377,-0.10000000149011612
378,0.20000000298023224
379,-0.699999988079071
380,0.30000001192092896
381,0.10000000149011612
382,0.30000001192092896
383,0.10000000149011612
384,0.30000001192092896
385,0.30000001192092896
386,0.20000000298023224
387,0.20000000298023224
388,-0.30000001192092896
389,0.20000000298023224
390,0.6000000238418579
391,0.10000000149011612
392,0.0
393,0.0
394,0.0
395,0.20000000298023224
396,0.30000001192092896
397,0.30000001192092896
398,0.10000000149011612
399,0.30000001192092896
400,0.0
401,0.10000000149011612
402,0.0
403,0.10000000149011612
404,-0.20000000298023224
405,0.10000000149011612
406,0.20000000298023224
407,0.10000000149011612
408,0.10000000149011612
409,0.4000000059604645
410,0.0
411,0.0
412,0.0
413,0.30000001192092896
414,0.10000000149011612
415,0.0
416,0.20000000298023224
417,0.0
418,0.20000000298023224
419,0.4000000059604645
420,0.10000000149011612
421,0.30000001192092896
422,0.5
423,0.30000001192092896
424,0.8999999761581421
425,0.20000000298023224
426,0.10000000149011612
427,0.0
428,0.0
429,0.30000001192092896
430,0.0
431,0.10000000149011612
432,0.0
433,0.699999988079071
434,0.6000000238418579
435,0.10000000149011612
436,0.30000001192092896
437,0.20000000298023224
438,0.0
439,0.10000000149011612
440,0.10000000149011612
441,0.20000000298023224
442,0.30000001192092896
443,0.10000000149011612
444,0.4000000059604645
445,0.10000000149011612
446,0.4000000059604645
447,0.6000000238418579
448,0.0
449,0.30000001192092896
450,0.10000000149011612
451,0.20000000298023224
452,0.5
453,0.30000001192092896
454,0.10000000149011612
455,0.30000001192092896
456,0.6000000238418579
457,0.699999988079071
458,0.30000001192092896
459,0.10000000149011612
460,0.30000001192092896
461,0.5
462,0.0
463,0.10000000149011612
464,0.20000000298023224
465,0.20000000298023224
466,-0.10000000149011612
467,0.10000000149011612
468,0.20000000298023224
469,0.0
470,-0.20000000298023224
471,0.30000001192092896
472,0.4000000059604645
473,0.20000000298023224
474,0.10000000149011612
475,0.30000001192092896
476,0.10000000149011612
477,0.30000001192092896
478,0.30000001192092896
479,0.20000000298023224
480,0.0
481,0.0
482,0.30000001192092896
483,0.20000000298023224
484,0.30000001192092896
485,0.4000000059604645
486,-0.20000000298023224
487,0.10000000149011612
488,-0.10000000149011612
489,0.0
490,-0.20000000298023224
491,0.0
492,0.0
493,0.20000000298023224
494,0.0
495,0.10000000149011612
496,0.30000001192092896
497,0.20000000298023224
498,0.0
499,0.0
500,0.0
501,0.30000001192092896
502,0.10000000149011612
503,-0.20000000298023224
504,0.0
505,0.0
506,0.5
507,0.10000000149011612
508,0.0
509,0.0
510,0.20000000298023224
511,0.10000000149011612
512,0.30000001192092896
513,0.5
514,0.30000001192092896
515,0.4000000059604645
516,0.5
517,0.6000000238418579
518,0.5
519,0.4000000059604645
520,0.10000000149011612
521,0.4000000059604645
522,0.5
523,0.5
524,0.5
525,0.30000001192092896
526,0.30000001192092896
527,0.5
528,0.6000000238418579
529,0.5
530,0.0
531,0.699999988079071
532,-0.6000000238418579
533,0.0
534,0.699999988079071
535,0.0
536,-0.10000000149011612
537,0.4000000059604645
538,0.6000000238418579
539,0.0
540,0.4000000059604645
541,0.6000000238418579
542,0.10000000149011612
543,0.0
544,0.10000000149011612
545,-0.10000000149011612
546,0.20000000298023224
547,0.20000000298023224
548,0.30000001192092896
549,0.0
550,0.0
551,0.10000000149011612
552,0.6000000238418579
553,0.30000001192092896
554,0.20000000298023224
555,0.4000000059604645
556,0.0
557,0.30000001192092896
558,0.0
559,0.5
560,0.30000001192092896
561,0.0
562,0.4000000059604645
563,0.0
564,0.10000000149011612
565,0.20000000298023224
566,0.30000001192092896
567,0.20000000298023224
568,0.6000000238418579
569,0.20000000298023224
570,0.0
571,0.10000000149011612
572,0.30000001192092896
573,0.6000000238418579
574,0.10000000149011612
575,0.30000001192092896
576,0.30000001192092896
577,0.4000000059604645
578,0.0
579,0.10000000149011612
580,0.20000000298023224
581,0.20000000298023224
582,0.20000000298023224
583,0.10000000149011612
584,0.6000000238418579
585,0.30000001192092896
586,-0.10000000149011612
587,0.0
588,0.30000001192092896
589,0.30000001192092896
590,0.30000001192092896
591,0.4000000059604645
592,0.5
593,0.0
594,0.10000000149011612
595,0.30000001192092896
596,0.30000001192092896
597,0.30000001192092896
598,0.30000001192092896
599,0.0
600,0.5
601,0.20000000298023224
602,0.30000001192092896
603,0.30000001192092896
604,0.20000000298023224
605,0.0
606,0.10000000149011612
607,0.0
608,-0.10000000149011612
609,0.0
610,0.20000000298023224
611,0.5
612,0.4000000059604645
613,0.0
614,0.30000001192092896
615,0.10000000149011612
616,0.20000000298023224
617,0.30000001192092896
618,0.4000000059604645
619,0.0
620,0.0
621,0.20000000298023224
